"cntyvtd","romney","obama","pct_obama","pct_romney","votes_2012","trump","clinton","pct_trump","pct_clinton","votes_2016","pct_latino"
"0291001",69,259,0.766272189349112,0.20414201183432,338,85,334,0.191011235955056,0.750561797752809,445,0.721329046087889
"0291002",140,226,0.605898123324397,0.375335120643432,373,113,231,0.305405405405405,0.624324324324324,370,0.610301263362488
"0291003",114,581,0.800275482093664,0.15702479338843,726,136,706,0.151785714285714,0.787946428571429,896,0.921736158578264
"0291004",56,298,0.818681318681319,0.153846153846154,364,55,330,0.138539042821159,0.831234256926952,397,0.921390153082334
"0291005",46,256,0.828478964401295,0.148867313915858,309,56,287,0.15819209039548,0.810734463276836,354,0.955019556714472
"0291006",183,770,0.773869346733668,0.18391959798995,995,181,829,0.172709923664122,0.791030534351145,1048,0.956459330143541
"0291007",144,514,0.762611275964392,0.213649851632047,674,151,502,0.224035608308605,0.744807121661721,674,0.946554149085795
"0291008",134,621,0.798200514138817,0.172236503856041,778,153,855,0.140883977900552,0.787292817679558,1086,0.758878504672897
"0291010",53,202,0.762264150943396,0.2,265,55,233,0.175718849840256,0.744408945686901,313,0.871050384286934
"0291011",43,159,0.753554502369668,0.203791469194313,211,50,171,0.222222222222222,0.76,225,0.949858088930937
"0291012",340,640,0.63681592039801,0.338308457711443,1005,319,696,0.296468401486989,0.646840148698885,1076,0.773832684824903
"0291013",177,801,0.79940119760479,0.176646706586826,1002,176,907,0.156166814551908,0.804791481810115,1127,0.954394299287411
"0291014",63,419,0.839679358717435,0.12625250501002,499,77,449,0.141544117647059,0.825367647058823,544,0.957927677329624
"0291015",94,426,0.797752808988764,0.176029962546816,534,117,453,0.195979899497487,0.758793969849246,597,0.960475690800979
"0291016",80,374,0.787368421052632,0.168421052631579,475,83,432,0.153419593345656,0.798521256931608,541,0.965393258426966
"0291017",31,67,0.663366336633663,0.306930693069307,101,34,50,0.350515463917526,0.515463917525773,97,0.820121951219512
"0291018",159,639,0.768028846153846,0.191105769230769,832,204,753,0.203187250996016,0.75,1004,0.932915740553647
"0291019",59,237,0.79,0.196666666666667,300,70,275,0.18970189701897,0.745257452574526,369,0.88544236869933
"0291020",234,754,0.729206963249516,0.226305609284333,1034,263,810,0.233570159857904,0.719360568383659,1126,0.872858207102061
"0291021",145,565,0.763513513513513,0.195945945945946,740,154,612,0.189655172413793,0.753694581280788,812,0.929670993057652
"0291022",67,303,0.7911227154047,0.174934725848564,383,85,351,0.18640350877193,0.769736842105263,456,0.956344586728754
"0291023",153,794,0.82279792746114,0.158549222797927,965,162,872,0.150557620817844,0.810408921933085,1076,0.969894736842105
"0291024",527,909,0.612533692722372,0.355121293800539,1484,552,1031,0.328571428571429,0.613690476190476,1680,0.697759752800309
"0291025",40,217,0.82824427480916,0.152671755725191,262,30,184,0.13215859030837,0.81057268722467,227,0.965138799225307
"0291026",86,486,0.832191780821918,0.147260273972603,584,106,472,0.176961602671119,0.787979966611018,599,0.941940137035701
"0291027",24,76,0.737864077669903,0.233009708737864,103,23,97,0.185483870967742,0.782258064516129,124,0.937158469945355
"0291028",73,305,0.780051150895141,0.186700767263427,391,87,337,0.195067264573991,0.755605381165919,446,0.93486777668952
"0291029",100,558,0.819383259911894,0.146842878120411,681,114,609,0.150197628458498,0.802371541501976,759,0.948484848484848
"0291030",2,1,0.333333333333333,0.666666666666667,3,12,11,0.413793103448276,0.379310344827586,29,0.590909090909091
"0291031",99,458,0.802101576182137,0.17338003502627,571,95,528,0.144817073170732,0.804878048780488,656,0.948018193632229
"0291032",112,798,0.848936170212766,0.119148936170213,940,137,821,0.135241855873643,0.810463968410661,1013,0.971188747731397
"0291033",247,461,0.634986225895317,0.340220385674931,726,278,535,0.322880371660859,0.62137049941928,861,0.791897332662305
"0291035",223,129,0.362359550561798,0.626404494382023,356,180,110,0.524781341107872,0.32069970845481,343,0.0779080074854723
"0291036",616,848,0.566088117489987,0.411214953271028,1498,642,992,0.370242214532872,0.572087658592849,1734,0.681189284662938
"0291037",305,691,0.673489278752437,0.297270955165692,1026,306,760,0.270318021201413,0.671378091872792,1132,0.823799015447293
"0291038",383,769,0.650042265426881,0.323753169907016,1183,423,897,0.303225806451613,0.643010752688172,1395,0.790652385589094
"0291039",191,680,0.762331838565022,0.214125560538117,892,201,791,0.194015444015444,0.763513513513513,1036,0.918929254302103
"0291040",139,762,0.809776833156217,0.147715196599362,941,135,815,0.135270541082164,0.816633266533066,998,0.961685823754789
"0291041",126,737,0.816168327796235,0.13953488372093,903,153,732,0.164870689655172,0.788793103448276,928,0.955018834478174
"0291042",98,456,0.807079646017699,0.173451327433628,565,122,431,0.214035087719298,0.756140350877193,570,0.955310199789695
"0291043",256,402,0.589442815249267,0.375366568914956,682,223,468,0.308011049723757,0.646408839779006,724,0.818754373687894
"0291044",194,825,0.793269230769231,0.186538461538462,1040,211,856,0.190605239385727,0.773261065943993,1107,0.948939982084204
"0291045",233,891,0.758297872340426,0.198297872340426,1175,302,1121,0.19973544973545,0.741402116402116,1512,0.934139357301941
"0291046",156,655,0.778834720570749,0.185493460166468,841,170,738,0.17913593256059,0.777660695468915,949,0.921327267861921
"0291047",155,584,0.766404199475066,0.203412073490814,762,180,620,0.21608643457383,0.744297719087635,833,0.934202726733847
"0291048",203,663,0.743273542600897,0.227578475336323,892,217,787,0.202803738317757,0.735514018691589,1070,0.89632265717675
"0291049",237,753,0.737512242899119,0.232125367286974,1021,270,846,0.231759656652361,0.72618025751073,1165,0.90632318501171
"0291050",143,479,0.754330708661417,0.225196850393701,635,191,443,0.290273556231003,0.673252279635258,658,0.832879906723669
"0291051",306,563,0.626948775055679,0.34075723830735,898,293,639,0.296859169199595,0.64741641337386,987,0.816756617836032
"0291052",238,581,0.678738317757009,0.27803738317757,856,263,635,0.274244004171011,0.662148070907195,959,0.830851697438952
"0291053",27,80,0.747663551401869,0.252336448598131,107,36,80,0.3,0.666666666666667,120,0.840637450199203
"0291054",220,735,0.743174924165824,0.222446916076845,989,233,785,0.216341689879294,0.728876508820798,1077,0.855673133450911
"0291055",408,578,0.570019723865878,0.402366863905325,1014,394,709,0.326429163214582,0.587406793703397,1207,0.587080430652312
"0291057",363,417,0.519302615193026,0.452054794520548,803,461,464,0.469450101832994,0.472505091649695,982,0.71475266942689
"0291058",444,500,0.515463917525773,0.457731958762887,970,538,598,0.449081803005008,0.499165275459099,1198,0.750158528852251
"0291059",44,79,0.6171875,0.34375,128,51,66,0.411290322580645,0.532258064516129,124,0.883168316831683
"0291060",158,897,0.832869080779944,0.146703806870938,1077,224,991,0.175824175824176,0.777864992150706,1274,0.95304547693318
"0291061",196,687,0.754116355653128,0.215148188803513,911,197,812,0.185673892554194,0.765315739868049,1061,0.913221329437546
"0291062",69,54,0.418604651162791,0.534883720930233,129,93,73,0.531428571428571,0.417142857142857,175,0.739811912225705
"0291063",347,380,0.50531914893617,0.461436170212766,752,426,444,0.464052287581699,0.483660130718954,918,0.762753036437247
"0291064",241,277,0.520676691729323,0.453007518796992,532,252,323,0.412438625204583,0.528641571194763,611,0.799273021001615
"0291065",385,451,0.518987341772152,0.443037974683544,869,466,573,0.424794895168642,0.522333637192343,1097,0.7966349670812
"0291066",89,171,0.638059701492537,0.332089552238806,268,111,229,0.311797752808989,0.643258426966292,356,0.869811320754717
"0291067",664,493,0.412897822445561,0.556113902847571,1194,741,579,0.537345902828136,0.419869470630892,1379,0.724521997401151
"0291069",156,191,0.538028169014084,0.43943661971831,355,136,173,0.417177914110429,0.530674846625767,326,0.501077586206897
"0291070",150,309,0.656050955414013,0.318471337579618,471,147,320,0.296969696969697,0.646464646464647,495,0.731105807478122
